Family	Class
YP_002235153	RND Antibiotic Efflux
YP_002239313	MFS Antibiotic Efflux
YP_002258163	RND Antibiotic Efflux
YP_002269113	RND Antibiotic Efflux
YP_002315561	Other ARG
YP_002317674	Antibiotic Target
YP_002332855	Quinolone Resistance
YP_002333392	Glycopeptide Resistance
YP_002382193	ABC Antibiotic Efflux
YP_002382998	MFS Antibiotic Efflux
YP_002384137	RND Antibiotic Efflux
YP_002384189	MFS Antibiotic Efflux
YP_002385298	RND Antibiotic Efflux
YP_002385300	RND Antibiotic Efflux
YP_002394666	Quinolone Resistance
YP_002398143	SMR Antibiotic Efflux
YP_002421432	Other ARG
YP_002434803	Other ARG
YP_002452159	Glycopeptide Resistance
YP_002479998	Other ARG
YP_002527555	Macrolide Resistance
YP_002559372	Aminoglycoside Acetyltransferase
YP_002559849	Other ARG
YP_002633428	Other ARG
YP_002633439	Gene Modulating Antibiotic Efflux
YP_002640141	MFS Antibiotic Efflux
YP_002773891	Other ARG
YP_002775228	Other ARG
YP_002800019	Other ARG
YP_002886367	Other ARG
YP_002890644	Other ARG
YP_002918846	MFS Antibiotic Efflux
YP_002929946	Other ARG
YP_002931998	Other ARG
YP_002932544	RND Antibiotic Efflux
YP_002937728	Other ARG
YP_002939420	Glycopeptide Resistance
YP_049275	RND Antibiotic Efflux
YP_069175	rRNA Methyltransferase
YP_078703	Other ARG
YP_080399	Other ARG
YP_106067	RND Antibiotic Efflux
YP_152755	MFS Antibiotic Efflux
YP_157958	Other ARG
YP_176746	Other ARG
YP_185297	MATE Antibiotic Efflux
YP_187539	Aminoglycoside Phosphotransferase
YP_195816	Tetracycline Efflux
YP_209353	Antibiotic Target
YP_233000	Rifamycin Resistance
YP_245409	Class A Beta-Lactamase
YP_245472	Class A Beta-Lactamase
YP_251227	rRNA Methyltransferase
YP_254114	Gene Modulating Antibiotic Efflux
YP_254125	Other ARG
YP_261151	Class C Beta-Lactamase
YP_264987	Other ARG
YP_271816	rRNA Methyltransferase
YP_274443	Other ARG
YP_277581	Other ARG
YP_298289	RND Antibiotic Efflux
YP_302016	Other ARG
YP_302113	Gene Modulating Antibiotic Efflux
YP_302125	Other ARG
YP_302230	MATE Antibiotic Efflux
YP_310429	MFS Antibiotic Efflux
YP_316450	Other ARG
YP_348389	RND Antibiotic Efflux
YP_349555	Other ARG
YP_403947	ABC Antibiotic Efflux
YP_405004	RND Antibiotic Efflux
YP_410370	RND Antibiotic Efflux
YP_415591	Tetracycline Efflux
YP_442964	RND Antibiotic Efflux
YP_453937	Other ARG
YP_454364	RND Antibiotic Efflux
YP_473355	Lincosamide Resistance
YP_542447	RND Antibiotic Efflux
YP_550152	Other ARG
YP_561834	Class B Beta-Lactamase
YP_589046	Other ARG
YP_603198	rRNA Methyltransferase
YP_621023	RND Antibiotic Efflux
YP_672241	Class C Beta-Lactamase
YP_691152	MFS Antibiotic Efflux
YP_698526	Other ARG
YP_776582	RND Antibiotic Efflux
YP_788128	Aminoglycoside Phosphotransferase
YP_790742	RND Antibiotic Efflux
YP_857635	Class C Beta-Lactamase
YP_878662	Other ARG
YP_884847	Aminoglycoside Acetyltransferase
YP_889433	Tetracycline Efflux
YP_894098	Other ARG
YP_906603	Quinolone Resistance
YP_966872	Other ARG
YP_970399	Other ARG
YP_976075	Glycopeptide Resistance
YP_997055	Other ARG
adeA-adeI_1	RND Antibiotic Efflux
adeB_1	RND Antibiotic Efflux
adeC-adeK-oprM_0	RND Antibiotic Efflux
adeC-adeK-oprM_1	RND Antibiotic Efflux
adeC-adeK-oprM_2	RND Antibiotic Efflux
adeC-adeK-oprM_4	RND Antibiotic Efflux
adeC-adeK-oprM_5	RND Antibiotic Efflux
adeR_0	Gene Modulating Antibiotic Efflux
adeS_1	Gene Modulating Antibiotic Efflux
baeR_0	Gene Modulating Antibiotic Efflux
baeR_2	Gene Modulating Antibiotic Efflux
baeS_1	Gene Modulating Antibiotic Efflux
blaI_0	Class A Beta-Lactamase
blaR1_0	Class A Beta-Lactamase
emrB_1	MFS Antibiotic Efflux
emrB_10	MFS Antibiotic Efflux
emrB_4	MFS Antibiotic Efflux
emrB_6	MFS Antibiotic Efflux
emrB_9	MFS Antibiotic Efflux
emrE_0	SMR Antibiotic Efflux
macA_0	ABC Antibiotic Efflux
macA_1	ABC Antibiotic Efflux
macA_2	ABC Antibiotic Efflux
macA_3	ABC Antibiotic Efflux
macB_0	ABC Antibiotic Efflux
macB_1	ABC Antibiotic Efflux
macB_2	ABC Antibiotic Efflux
macB_3	ABC Antibiotic Efflux
macB_4	ABC Antibiotic Efflux
macB_5	ABC Antibiotic Efflux
macB_6	ABC Antibiotic Efflux
macB_7	ABC Antibiotic Efflux
marA_1	Gene Modulating Antibiotic Efflux
mecR1_0	Gene Modulating Resistance
mprF_0	Other ARG
mprF_1	Other ARG
mprF_2	Other ARG
msbA_0	ABC Antibiotic Efflux
msbA_1	ABC Antibiotic Efflux
msbA_2	ABC Antibiotic Efflux
msbA_3	ABC Antibiotic Efflux
msbA_4	ABC Antibiotic Efflux
msbA_5	ABC Antibiotic Efflux
phoQ_0	Gene Modulating Antibiotic Efflux
phoQ_1	Gene Modulating Antibiotic Efflux
ramA_0	Gene Modulating Antibiotic Efflux
robA_0	Gene Modulating Antibiotic Efflux
robA_1	Gene Modulating Antibiotic Efflux
romA_0	Gene Modulating Resistance
soxR_0	Gene Modulating Antibiotic Efflux
soxR_1	Gene Modulating Antibiotic Efflux
soxR_2	Gene Modulating Antibiotic Efflux
soxR_4	Gene Modulating Antibiotic Efflux
soxR_5	Gene Modulating Antibiotic Efflux
tolC_0	ABC Antibiotic Efflux
tolC_1	ABC Antibiotic Efflux
tolC_3	ABC Antibiotic Efflux
vanC_1	Glycopeptide Resistance
vanH_2	Glycopeptide Resistance
vanH_4	Glycopeptide Resistance
vanR_2	Glycopeptide Resistance
vanR_4	Glycopeptide Resistance
vanR_6	Glycopeptide Resistance
vanR_7	Glycopeptide Resistance
vanR_9	Glycopeptide Resistance
vanS_11	Glycopeptide Resistance
vanS_12	Glycopeptide Resistance
vanS_2	Glycopeptide Resistance
vanS_6	Glycopeptide Resistance
vanS_8	Glycopeptide Resistance
vanS_9	Glycopeptide Resistance
vanT_2	Glycopeptide Resistance
vanW_2	Glycopeptide Resistance
vanX_1	Glycopeptide Resistance
vanX_3	Glycopeptide Resistance
vanX_5	Glycopeptide Resistance
vanX_7	Glycopeptide Resistance
vanY_1	Glycopeptide Resistance
